ISIN,SYMBOL,SERIES,TYPE,HAIRCUT
INF846K01W23,AXISEEDGG,GR,OMF,7.5
INF846K01W64,AXISEEDPD,DP,OMF,7.5
INF846K01W72,AXISEEDPR,DR,OMF,7.5
INF846K01W56,AXISEEGPG,GR,OMF,7.5
INF846K01DN3,AXISEFD1,DP,OMF,7.5
INF846K01DO1,AXISEFD1,DR,OMF,7.5
INF846K01DP8,AXISEFDG,GR,OMF,7.5
INF846K01E09,AXISEHD1D,DP,OMF,7.5
INF846K01E17,AXISEHD1R,DR,OMF,7.5
INF846K01E25,AXISEHDGG,GR,OMF,7.5
INF846K01E33,AXISEHDMD,DP,OMF,7.5
INF846K01E41,AXISEHDMR,DR,OMF,7.5
INF846K01F08,AXISEHDPD,DP,OMF,7.5
INF846K01F16,AXISEHDPR,DR,OMF,7.5
INF846K01E90,AXISEHGPG,GR,OMF,7.5
INF846K01F24,AXISEHQDD,DP,OMF,7.5
INF846K01F32,AXISEHQDR,DR,OMF,7.5
INF846K01E74,AXISEHRDD,DP,OMF,7.5
INF846K01E82,AXISEHRDR,DR,OMF,7.5
INF846K01DT0,AXISIFDG,GR,OMF,7.5
INF846K01BP2,AXISIFGPGP,GR,OMF,7.5
INF846K01BQ0,AXISIFQDDP,DP,OMF,7.5
INF846K01BS6,AXISIFQDRP,DR,OMF,7.5
INF846K01EF7,AXISMCD1,DP,OMF,7.5
INF846K01EG5,AXISMCD1,DR,OMF,7.5
INF846K01EH3,AXISMCDG,GR,OMF,7.5
INF846K01867,AXISMCDP,DP,OMF,7.5
INF846K01875,AXISMCDPR,DR,OMF,7.5
INF846K01859,AXISMCGP,GR,OMF,7.5
INF846K01B02,AXISMLD1D,DP,OMF,7.5
INF846K01B10,AXISMLD1R,DR,OMF,7.5
INF846K01B28,AXISMLDGG,GR,OMF,7.5
INF846K01B36,AXISMLDPD,DP,OMF,7.5
INF846K01B44,AXISMLDPR,DR,OMF,7.5
INF846K01B51,AXISMLGPG,GR,OMF,7.5
INF846K01Q62,AXISMMDGG,GR,GMF,10
INF846K01R95,AXISMMDPD,DP,GMF,10
INF846K01R87,AXISMMDPR,DR,GMF,10
INF846K01R46,AXISMMGPG,GR,GMF,10
INF846K01J87,AXISOGDPD,DP,OMF,7.5
INF846K01J95,AXISOGDPR,DR,OMF,7.5
INF846K01J79,AXISOGGPG,GR,OMF,7.5
INF846K01O56,AXISONDDR,DR,GMF,10
INF846K01N65,AXISONDGG,GR,GMF,10
INF846K01N73,AXISONDMD,DP,GMF,10
INF846K01N81,AXISONDMR,DR,GMF,10
INF846K01N99,AXISONDRR,DR,GMF,10
INF846K01O23,AXISONGPG,GR,GMF,10
INF846K01O07,AXISONWDD,DP,GMF,10
INF846K01O15,AXISONWDR,DR,GMF,10
INF846K01K43,AXISSCD1D,DP,OMF,7.5
INF846K01K50,AXISSCD1R,DR,OMF,7.5
INF846K01K35,AXISSCDGG,GR,OMF,7.5
INF846K01K27,AXISSCDPR,DR,OMF,7.5
INF846K01K01,AXISSCGPG,GR,OMF,7.5
INF846K01RH5,AXISSTD1D,DP,OMF,7.5
INF846K01RI3,AXISSTD1R,DR,OMF,7.5
INF846K01EI1,AXISSTDG,GR,OMF,7.5
INF846K01RJ1,AXISSTRDD,DP,OMF,7.5
INF846K01RK9,AXISSTRDR,DR,OMF,7.5
INF846K01EN1,AXISTADG,GR,OMF,7.5
INF846K01EQ4,AXISTADR,DR,OMF,7.5
INF846K01ER2,AXISTADW,DP,OMF,7.5
INF846K01ES0,AXISTADW,DR,OMF,7.5
INF846K01EX0,AXISTSD1,DP,OMF,7.5
INF846K01EY8,AXISTSD1,DR,OMF,7.5
INF846K01EW2,AXISTSDG,GR,OMF,7.5
INF846K01G31,AXISUSDDR,DR,OMF,7.5
INF846K01F40,AXISUSDGG,GR,OMF,7.5
INF846K01F99,AXISUSDMD,DP,OMF,7.5
INF846K01F81,AXISUSDMR,DR,OMF,7.5
INF846K01G72,AXISUSDPD,DP,OMF,7.5
INF846K01G64,AXISUSDPR,DR,OMF,7.5
INF846K01G23,AXISUSGPG,GR,OMF,7.5
INF846K01G98,AXISUSRDD,DP,OMF,7.5
INF846K01G80,AXISUSRDR,DR,OMF,7.5
INF846K01G56,AXISUSWDD,DP,OMF,7.5
INF846K01G49,AXISUSWDR,DR,OMF,7.5
INF209K01UM0,B02DZ,DR,OMF,7.5
INF209K01UN8,B02GZ,GR,OMF,7.5
INF209K01P23,B02Z,DP,OMF,7.5
INF084M01AB8,B105G,GR,OMF,7.5
INF084M01AD4,B106D,DR,OMF,7.5
INF084M01AC6,B106DP,DP,OMF,7.5
INF209K010W9,B1180A,DP,OMF,7.5
INF209K011W7,B1180B,GR,OMF,7.5
INF209K012W5,B1180C,DR,OMF,7.5
INF209K013W3,B1180X,DP,OMF,7.5
INF209K014W1,B1180Y,GR,OMF,7.5
INF209K015W8,B1180Z,DR,OMF,7.5
INF209K01UQ1,B132DZ,DP,OMF,7.5
INF209K01LZ1,B132G,GR,OMF,7.5
INF209K01UR9,B132GZ,GR,OMF,7.5
INF209K01MA2,B132WD,DP,OMF,7.5
INF209K01US7,B132WZ,DP,OMF,7.5
INF209K01UT5,B151DZ,DP,GMF,10
INF209K01UU3,B151GZ,DP,GMF,10
INF209K01RV7,B151IG,GR,GMF,10
INF209K01UW9,B152DZ,DP,OMF,7.5
INF209K01UX7,B152GZ,GR,OMF,7.5
INF209K01MG9,B152IG,GR,OMF,7.5
INF209K01UY5,B152IZ,DP,OMF,7.5
INF209K01UZ2,B153DZ,DP,GMF,10
INF209K01RU9,B153G,GR,GMF,10
INF209K01VA3,B153GZ,DP,GMF,10
INF209K01VC9,B153WZ,DP,GMF,10
INF209K01VD7,B153Z,DP,GMF,10
INF209K01P49,B15Z,DP,OMF,7.5
INF209K01VF2,B16Z,GR,OMF,7.5
INF209K01VG0,B201DZ,DP,OMF,7.5
INF209K01VH8,B201GZ,GR,OMF,7.5
INF209K01VI6,B201RZ,DR,OMF,7.5
INF209K01P80,B205DZ,DP,OMF,7.5
INF209K01VP1,B205GZ,GR,OMF,7.5
INF209K01VQ9,B205RZ,DR,OMF,7.5
INF209K01Q06,B221DZ,DP,OMF,7.5
INF209K01VT3,B221GZ,GR,OMF,7.5
INF209K01VU1,B221RZ,DR,OMF,7.5
INF209K01Q22,B251DZ,DP,OMF,7.5
INF209K01Q30,B251GZ,GR,OMF,7.5
INF209K01Q63,B291DZ,DP,OMF,7.5
INF209K01WC7,B291GZ,GR,OMF,7.5
INF209K01Q71,B292DZ,DP,OMF,7.5
INF209K01WE3,B292GZ,GR,OMF,7.5
INF209K01WF0,B292RZ,DR,OMF,7.5
INF209K01EO0,B295D,DP,OMF,7.5
INF209K01EP7,B295DR,DR,OMF,7.5
INF209K01WM6,B295DZ,DP,OMF,7.5
INF209K01EN2,B295G,GR,OMF,7.5
INF209K01WN4,B295GZ,GR,OMF,7.5
INF209K01LE6,B296D,DP,OMF,7.5
INF209K01WP9,B296DZ,DP,OMF,7.5
INF209K01LF3,B296G,GR,OMF,7.5
INF209K01WQ7,B296GZ,GR,OMF,7.5
INF209K01LG1,B296RD,DR,OMF,7.5
INF209K01WY1,B301GZ,GR,OMF,7.5
INF209K01XA9,B303GZ,DR,OMF,7.5
INF209KA1KP8,B303WZ,DP,OMF,7.5
INF209K01R47,B313DZ,DP,OMF,7.5
INF209K01XH4,B313GZ,GR,OMF,7.5
INF209K01XJ0,B313PZ,DP,OMF,7.5
INF209K01N82,B321GZ,GR,OMF,7.5
INF209K01R62,B321MZ,DP,OMF,7.5
INF209K01R88,B321QZ,DP,OMF,7.5
INF209KA1TX3,B321X,DP,OMF,7.5
INF209K01S38,B32Z,GR,OMF,7.5
INF209K01XK8,B341GZ,GR,OMF,7.5
INF209K01XL6,B341QZ,DR,OMF,7.5
INF209K01R96,B341WZ,DP,OMF,15.16
INF209KA1KT0,B37AZ,DP,OMF,7.5
INF209K01N90,B37Z,DP,OMF,7.5
INF209KA1K54,B380A,DP,OMF,7.5
INF209KA1K47,B380B,GR,OMF,7.5
INF209KA1K62,B380C,DR,OMF,7.5
